a(one)|ai-we|a-we	  	
abback|agab|abag		
abash|sow|sumige		
abashes|sawi|sumigeein
abashed|sowsou|sumige'on
abat, remorie|inge'|ennoas
abnegate cancel|wailais|wailais
able can/was|eski/eskou|eskin/eskon
aborts / abborting|bokki/abokki|fokkin/afokkin
about|kiri|nana
above, on|dogoag|doro
abroad, out|boadir, botge|shaddo
absorb, suk|ge'ook|ge'ook
absorbs|ge'ooki|ge'ookin
absorbed is/was|geooktuki / ge'ook tuk sou|ge'ooktukinge' / ook tuk on
abundant|digiry|dia
abuse,instult|did|emerge
abuses|didi|emerge'in
abused|didsou|emerge'on
acacia|shaba,ge'oulle|ge'oulle
acacia flower|barum|baram
acacia fruit|ge'ortu|ge'ourte
accidentally|sou'da|sou'da
aceromated|fairsou,fottou|fotton
acromatic|fairur,fottos|fottad
addle(egg)|shougmbou|shougm a feen
adhere to| ge'irb bou| ge'iirb a feen
adjoin|kollgir|kollikir
adorn the bride| N/A | fokkir
adult|tonorti|kourked
advance|agiddo|o'rug ung
advanced|agiddsou|o'rug-ung
adze|newid|alud
afraid|surk bou, sundbou|ge'aga feen
agaricus|hanon -n|kug'in
again|weedle|weed a goan
age|ougour|oug
one age|bouttout|boutti
agony|addur|addikreed
alike|ulgi|ulgin
all|mulle|mulle
allain,arrive|door|do'ow
allained|doorsou|do'ow on
alright|sere|mussilin
alone,deserted|agooda|a gooda
al opecia|gouba|toagne'a, gouba
also|enkega, ikbou|adingra
always|kitte'|wiyun, seddin
amazee'|udwi|undwin
among|beri|fukki
amputated|moutbout|mouttool
anatch|elew oase|allawoase
and|oan|oan
angry / to make / will be|arribou, surkbou / arrigir, surkid / bi arri, be surki|simur kafeen / simuskir / fa simurkin
ankle|ossi bood|oy - insoukki
anoint|dessdin,der|noyir
another|itge'il|itge'i
ant|goar|gou'wa
antimony|nidme', mine'|gidum
antin pencil|tibintible|gidum oase
antimony|nudme'-n|gidum-in
pot|dadi|dadi
anus|sorod, osod|ou'sour
any|say|sir, hir
ape|abalay|abalgne
appear / appears / appeared|wan / wani / wansou| wagne / wegne'in/ wegne'on
appearance|wanur|wagneed
approach|agid,aw'wut|moal-ung
arm|kew|kew
forearm|keffa|keffa
armlet|lekeek|girdiyya
armpit|abirtgo|awir in tuwa
army|kel|kel
around|lowaya|gritta
arrange, staw|ge'ob|ge'ob
arrangement|ge'obur|ge'obeed
arrest|morrogir,kumituk|do'om
arrogant|newerti dool|kobe'
ascend|kooge|kair
ash|aborti|ou'bourti
wheat ash|sigid|ased
ask|issig|issig
asthma|semma|simma
at|nay-nur|log-dog
attain (majority)| N/A | utta feen
at(you)| teddo | tuddo
aunt|ba-n-essi / indi kegid|ungne / un ain bess
avert|wailais gir|wailaiskir
awake|bitge|fik
away|wurri|weeirddo
awe, fear|surki,sundi|ge'akki
awl|issan|issan
axe|gumbo|gama
baby (child)|uffi, bitan| ussur, bitan
back|ger''|ger
bad|gurri|gurri
baize|eri|eri
bald (head)|toage|toagned'a
ban|doubba|doubba
bans|doubbi|doubin
bainsh|tou'rr|tou'rr
banished|tou'rrsou|tou'rron
bank / bank barrium|bas,aab / tognud|abol / tognud
bare (face / foot)| kogne sow, koisow / ossi sood|koganesama / oy sood
barge (ship)| gey asa|gey asa
bark|wok,mok|wok
barly|serin|sering
barren|meer|meer
bart|eair|wiskir
bashful|sowur|sumige'ori
basin|ba|fa
bathe|bow|fiss
beach|aab togoag|abol in tuuwo
bead|artge'i|ge'itti
bear / bears|sok / soki|sok / sokin
beard|same|same
beat|ge'om|aushir
beatle|kookinne|foode
beautiful|tonge'il|ushri
beautify|tonge'ilgir|ushikir
became|noasou|ngoason
become|un|ung
bed|ungre|ungre
before|ogollo|orrugiddo
beg|bed,bend|fed
beget|tong, messil|messil
beggar|bedday,bendutti|feddutti
begin|ugur|ougir
beguile|doashkir|doashkir
behind|ger ni|ger rog-lof
blech|aish|aish,gaish
belly|too|too
belongs (to)|dig|na
belt|amage'ur|mergur
bend|oub,sourogne|golobe- oub
bendication|turure|turwe
bent|beri,arri|filli
benumb / benumbed|seewi / seewsou|seewin / seewon
berth|mishra|mishra
